festival_name,city,date,tour_name,headlining_artist,supporting_artists,ticket_price,total_attendance,merchandise_sales,sponsorship_revenue,total_revenue
NH7 Pune,Kolkata,2024-01-12,Unknown Tour,Badshah,"DJ Snake, Honey Singh",1253.0,6166,1942290,3680408,13348696
Ziro Festival Arunachal,Delhi,2024-04-21,Unknown Tour,Honey Singh,"Bryan Adams, Martin Garrix, Mika Singh",1689.0,40643,16622987,2589481,87858495
NH7 Pune,Bengaluru,2024-09-18,Classics Tour,Bryan Adams,"Badshah, Arijit Singh, Martin Garrix, Diljit Dosanjh",6813.8,17889,7667100,640053,132693072
VH1 Supersonic Delhi,Goa,2024-03-02,Unknown Tour,Honey Singh,"Martin Garrix, Badshah, Ed Sheeran, Diljit Dosanjh",2144.0,14688,2350080,2712686,36553838
Hornbill Festival Nagaland,Nagpur,2024-06-11,Soulful Nights Tour,Arijit Singh,"Martin Garrix, Badshah",1886.0,35244,6132456,1181193,73783833
Ziro Festival Arunachal,Jaipur,2024-05-25,Unknown Tour,Mika Singh,"Diljit Dosanjh, Mika Singh",3984.0,20799,2252122,2302603,58605653
Ziro Festival Arunachal,Goa,2024-03-20,Classics Tour,Bryan Adams,"Ed Sheeran, Mika Singh, Shreya Ghoshal, Bryan Adams",2910.22,18778,4828680,4948076,111635078
NH7 Pune,Nagpur,2024-06-19,Unknown Tour,Badshah,"Honey Singh, Badshah, Bryan Adams, Martin Garrix",840.0,33535,12206740,1201595,41577735
Bollywood Music Project,Delhi,2024-05-28,Unknown Tour,Shreya Ghoshal,"Ed Sheeran, Shreya Ghoshal, Bryan Adams, Badshah",4191.0,20799,4279770,3427104,81824709
Lollapalooza Mumbai,Kolkata,2024-01-28,Unknown Tour,Honey Singh,"Honey Singh, Diljit Dosanjh",1823.0,15513,7539318,3948781,39768298
Hornbill Festival Nagaland,Jaipur,2024-06-19,Unknown Tour,DJ Snake,"Honey Singh, Diljit Dosanjh, Arijit Singh",3953.6,21693,9306297,4798020,75365349
Sunburn Goa,Goa,2024-12-23,Unknown Tour,Shreya Ghoshal,"Honey Singh, Badshah, Bryan Adams",2842.0,24021,5020389,2851905,76139976
Supersonic Bengaluru,Pune,2024-05-16,Born To Shine Tour,Diljit Dosanjh,"Mika Singh, Ed Sheeran, Arijit Singh",528.0,33241,2659280,3167786,19328026
Magnetic Fields Rajasthan,Mumbai,2024-12-18,Unknown Tour,Martin Garrix,"Shreya Ghoshal, Ed Sheeran, Arijit Singh",1543.0,19867,2821114,2897760,36373655
Hornbill Festival Nagaland,Amritsar,2024-02-22,Unknown Tour,Shreya Ghoshal,"Bryan Adams, Badshah, Honey Singh",2188.0,20603,9559792,4600450,59239606
VH1 Supersonic Delhi,Kolkata,2024-10-16,Classics Tour,Bryan Adams,"Ed Sheeran, Shreya Ghoshal",2217.6,9504,5892852,795307,28195711
Lollapalooza Mumbai,Delhi,2024-06-12,Classics Tour,Bryan Adams,"Martin Garrix, Mika Singh, Bryan Adams",5397.0,9158,1687707,2188470,54311142
Ziro Festival Arunachal,Pune,2024-04-02,Mathematics Tour,Ed Sheeran,"Honey Singh, Ed Sheeran",1601.6,11790,3030030,3635278,20153068
Ziro Festival Arunachal,Delhi,2024-08-27,Unknown Tour,Shreya Ghoshal,"Honey Singh, Mika Singh, Martin Garrix, Ed Sheeran",4564.0,31755,6890835,4732974,156553629
Sunburn Goa,Nagpur,2024-12-08,Classics Tour,Bryan Adams,"Ed Sheeran, Mika Singh, Shreya Ghoshal, Honey Singh",3350.2,2975,1041495,3001940,14216078
Sunburn Goa,Delhi,2024-06-17,Unknown Tour,Badshah,"Shreya Ghoshal, Diljit Dosanjh, Arijit Singh",4045.0,27719,7539568,4670910,124333833
Sunburn Goa,Bengaluru,2024-05-13,Soulful Nights Tour,Arijit Singh,"Honey Singh, Diljit Dosanjh, Badshah",1008.0,21142,2558182,1632574,25501892
NH7 Pune,Chandigarh,2024-07-01,Unknown Tour,Martin Garrix,"Honey Singh, Bryan Adams, DJ Snake",2334.0,16842,6905220,1067015,47281463
Goa Tribal Festival,Delhi,2024-01-08,Born To Shine Tour,Diljit Dosanjh,"Ed Sheeran, Diljit Dosanjh, Shreya Ghoshal, Badshah",2910.22,14456,4603680,2403962,41090442
Magnetic Fields Rajasthan,Amritsar,2024-05-04,Unknown Tour,Badshah,"Mika Singh, Diljit Dosanjh, Martin Garrix",3977.0,25243,9238938,4689343,114319692
Sunburn Goa,Jaipur,2024-04-25,Unknown Tour,Honey Singh,"Bryan Adams, Diljit Dosanjh, Honey Singh, Mika Singh",3449.0,13539,5672841,3471436,55840288
Hornbill Festival Nagaland,Pune,2024-01-25,Unknown Tour,Badshah,"Martin Garrix, Bryan Adams, DJ Snake",3668.0,36462,5250528,2377592,141370736
NH7 Pune,Goa,2024-09-04,Unknown Tour,Badshah,"Arijit Singh, Diljit Dosanjh",3279.0,32540,13341400,2840750,122880810
NH7 Pune,Amritsar,2024-12-13,Unknown Tour,Honey Singh,"Diljit Dosanjh, Honey Singh, DJ Snake, Shreya Ghoshal",2948.0,9316,1266976,2704822,31435366
NH7 Pune,Delhi,2024-12-21,Unknown Tour,DJ Snake,"Bryan Adams, Mika Singh, Arijit Singh",2749.6,17172,7830432,3956927,45513167
Ziro Festival Arunachal,Bengaluru,2024-04-28,Unknown Tour,Honey Singh,"Arijit Singh, Honey Singh",2910.22,16737,6276375,2726932,85424449
NH7 Pune,Chandigarh,2024-04-10,Unknown Tour,Shreya Ghoshal,"Martin Garrix, Diljit Dosanjh, Badshah, Mika Singh",632.0,35304,10379376,1590737,34282241
Goa Tribal Festival,Kolkata,2024-03-09,Unknown Tour,Honey Singh,"DJ Snake, Arijit Singh, Badshah, Mika Singh",1932.0,16841,7713178,4738764,44988754
Ziro Festival Arunachal,Goa,2024-03-07,Classics Tour,Bryan Adams,"Mika Singh, Diljit Dosanjh, Shreya Ghoshal",1598.8,18210,7336230,2229062,39274422
NH7 Pune,Delhi,2024-02-04,Born To Shine Tour,Diljit Dosanjh,"Mika Singh, Ed Sheeran, Honey Singh, Diljit Dosanjh",1933.0,58687,16296984,1120895,104681231
Lollapalooza Mumbai,Bengaluru,2024-04-13,Born To Shine Tour,Diljit Dosanjh,"Diljit Dosanjh, DJ Snake, Honey Singh, Shreya Ghoshal",2910.22,7559,1913135,4680189,21654174
VH1 Supersonic Delhi,Bengaluru,2024-08-05,Unknown Tour,Martin Garrix,"DJ Snake, Honey Singh, Diljit Dosanjh",4452.0,31745,4412555,4091720,149833015
Bollywood Music Project,Mumbai,2024-09-20,Unknown Tour,Mika Singh,"Arijit Singh, DJ Snake, Martin Garrix",2716.0,12688,2486848,1413822,38361278
Sunburn Goa,Chandigarh,2024-08-03,Unknown Tour,Mika Singh,"DJ Snake, Badshah",2237.0,20276,9671652,4912334,59941398
Bollywood Music Project,Nagpur,2024-06-25,Unknown Tour,Badshah,"DJ Snake, Honey Singh, Diljit Dosanjh",1412.0,20799,12753000,663225,61435521
Bollywood Music Project,Goa,2024-12-28,Born To Shine Tour,Diljit Dosanjh,"Diljit Dosanjh, Shreya Ghoshal, Ed Sheeran",836.0,56160,14904000,4753926,55773126
Bollywood Music Project,Chandigarh,2024-08-23,Born To Shine Tour,Diljit Dosanjh,"Bryan Adams, DJ Snake, Mika Singh, Shreya Ghoshal",625.0,34043,11705589,2483828,30556292
Lollapalooza Mumbai,Kolkata,2024-09-20,Unknown Tour,Badshah,"Mika Singh, Arijit Singh, Ed Sheeran",4629.0,34318,5113382,3030898,167002302
Lollapalooza Mumbai,Chandigarh,2024-08-20,Unknown Tour,Mika Singh,"Shreya Ghoshal, Badshah, Arijit Singh, Bryan Adams",3412.0,22029,7401744,4420985,86985677
Hornbill Festival Nagaland,Jaipur,2024-11-10,Born To Shine Tour,Diljit Dosanjh,"Badshah, Arijit Singh, Mika Singh, Bryan Adams",2105.0,52642,15468708,4334451,105043029
Ziro Festival Arunachal,Mumbai,2024-08-08,Born To Shine Tour,Diljit Dosanjh,"Badshah, DJ Snake, Honey Singh, Mika Singh",737.0,28345,3292404,4566892,23928844
Sunburn Goa,Goa,2024-12-28,Unknown Tour,Mika Singh,"Honey Singh, Shreya Ghoshal",933.0,31752,5366088,1334941,36325645
Ziro Festival Arunachal,Bengaluru,2024-06-24,Soulful Nights Tour,Arijit Singh,"Ed Sheeran, Arijit Singh, Badshah",4503.0,7651,1361878,2805968,38620299
Supersonic Bengaluru,Chandigarh,2024-05-11,Mathematics Tour,Ed Sheeran,"DJ Snake, Mika Singh",2615.2,6000,2094000,3409793,16711793
Supersonic Bengaluru,Jaipur,2024-04-04,Born To Shine Tour,Diljit Dosanjh,"Mika Singh, Ed Sheeran",4046.0,32925,4356244,1785594,108614880
VH1 Supersonic Delhi,Nagpur,2024-01-27,Classics Tour,Bryan Adams,"Mika Singh, Badshah",4613.0,9412,5580090,4314798,54199458
VH1 Supersonic Delhi,Goa,2024-07-26,Soulful Nights Tour,Arijit Singh,"Ed Sheeran, DJ Snake, Mika Singh",3437.0,17457,4800675,3816903,68617287
Supersonic Bengaluru,Jaipur,2024-09-08,Unknown Tour,Martin Garrix,"Martin Garrix, Badshah",2167.0,23456,8068864,4892379,63790395
VH1 Supersonic Delhi,Goa,2024-11-11,Classics Tour,Bryan Adams,"Diljit Dosanjh, Badshah, Bryan Adams",2289.0,12636,5054560,11048770,36779334
Ziro Festival Arunachal,Nagpur,2024-12-09,Unknown Tour,Honey Singh,"Arijit Singh, Honey Singh, Shreya Ghoshal, Ed Sheeran",2495.0,26922,12868716,4865146,339617008
Magnetic Fields Rajasthan,Nagpur,2024-01-13,Classics Tour,Bryan Adams,"Arijit Singh, Diljit Dosanjh",1244.6,23400,10463277,1325646,41507304
Sunburn Goa,Pune,2024-08-05,Unknown Tour,Shreya Ghoshal,"DJ Snake, Shreya Ghoshal, Honey Singh, Diljit Dosanjh",4120.0,20799,4873518,2422363,93103121
Magnetic Fields Rajasthan,Goa,2024-06-05,Unknown Tour,Shreya Ghoshal,"Martin Garrix, Badshah, Bryan Adams, Arijit Singh",2910.22,20799,4728492,3476973,15717666
Goa Tribal Festival,Amritsar,2024-02-04,Classics Tour,Bryan Adams,"Diljit Dosanjh, Ed Sheeran, DJ Snake, Honey Singh",4459.0,19021,9592069,3713395,99851469
Ziro Festival Arunachal,Jaipur,2024-05-19,Unknown Tour,Shreya Ghoshal,"Honey Singh, Ed Sheeran",2910.22,31020,10701900,854727,122856387
Bollywood Music Project,Jaipur,2024-10-18,Unknown Tour,Mika Singh,"DJ Snake, Arijit Singh, Shreya Ghoshal",2910.22,5456,1085744,3936852,19235476
Hornbill Festival Nagaland,Jaipur,2024-07-11,Soulful Nights Tour,Arijit Singh,"Arijit Singh, DJ Snake, Mika Singh",4134.0,20799,15825404,3103482,184975130
Bollywood Music Project,Goa,2024-07-13,Unknown Tour,DJ Snake,"Bryan Adams, Martin Garrix",5391.4,11355,2305065,1958821,191967964
Sunburn Goa,Delhi,2024-06-14,Soulful Nights Tour,Arijit Singh,"Martin Garrix, DJ Snake, Arijit Singh, Honey Singh",2910.22,20799,3236079,3039149,24290802
Goa Tribal Festival,Nagpur,2024-01-01,Unknown Tour,Honey Singh,"DJ Snake, Bryan Adams, Martin Garrix, Badshah",3769.0,35877,5489181,8648395,142439273
Magnetic Fields Rajasthan,Kolkata,2024-03-19,Unknown Tour,Badshah,"Diljit Dosanjh, Arijit Singh, Shreya Ghoshal, Mika Singh",2589.0,8270,1563030,3564057,106152468
Sunburn Goa,Nagpur,2024-11-20,Mathematics Tour,Ed Sheeran,"Bryan Adams, Ed Sheeran, Badshah",1867.6,46028,20068208,2266980,83736540
Bollywood Music Project,Goa,2024-05-08,Unknown Tour,Honey Singh,"Shreya Ghoshal, DJ Snake, Honey Singh, Bryan Adams",4078.0,9560,3795320,2303574,45084574
Goa Tribal Festival,Goa,2024-03-17,Soulful Nights Tour,Arijit Singh,"Ed Sheeran, Honey Singh, Arijit Singh",1381.0,13578,5336154,1442642,25530014
NH7 Pune,Pune,2024-08-21,Unknown Tour,DJ Snake,"Bryan Adams, Honey Singh, Arijit Singh",6914.6,40916,19926092,3643451,225653667
VH1 Supersonic Delhi,Chandigarh,2024-08-02,Unknown Tour,Honey Singh,"Arijit Singh, Badshah",2817.0,13994,6689132,3519113,49629343
Goa Tribal Festival,Bengaluru,2024-01-26,Unknown Tour,Badshah,"Bryan Adams, Honey Singh, Mika Singh",2937.0,14499,7177005,1341541,51102109
Sunburn Goa,Nagpur,2024-10-03,Unknown Tour,DJ Snake,"Ed Sheeran, Honey Singh, Badshah, Mika Singh",3235.4,15002,3975530,4947667,43592819
NH7 Pune,Goa,2024-02-17,Unknown Tour,DJ Snake,"Ed Sheeran, Badshah, Arijit Singh, Bryan Adams",2224.6,23169,5630067,4471729,46917337
Supersonic Bengaluru,Nagpur,2024-11-20,Unknown Tour,DJ Snake,"Martin Garrix, Honey Singh, DJ Snake, Arijit Singh",2679.6,20799,1370391,1953924,23346669
Magnetic Fields Rajasthan,Pune,2024-02-23,Unknown Tour,Mika Singh,"Mika Singh, DJ Snake, Bryan Adams, Ed Sheeran",2567.0,4240,1861360,1698282,14443722
Hornbill Festival Nagaland,Delhi,2024-09-08,Classics Tour,Bryan Adams,"Honey Singh, Shreya Ghoshal",6972.0,21681,13875904,2510128,170631572
Hornbill Festival Nagaland,Pune,2024-08-06,Unknown Tour,Honey Singh,"Martin Garrix, Bryan Adams",2910.22,32900,6777400,3584230,126301230
Sunburn Goa,Pune,2024-11-13,Classics Tour,Bryan Adams,"Bryan Adams, Arijit Singh, Honey Singh",4765.6,11366,6933626,2380633,64588411
Supersonic Bengaluru,Delhi,2024-05-02,Unknown Tour,Shreya Ghoshal,"Ed Sheeran, Honey Singh, DJ Snake, Bryan Adams",3243.0,5362,739956,4259028,22387950
Supersonic Bengaluru,Chandigarh,2024-08-27,Unknown Tour,Martin Garrix,"Shreya Ghoshal, Martin Garrix",1599.0,6748,1005452,3330904,15126408
Supersonic Bengaluru,Jaipur,2024-02-04,Soulful Nights Tour,Arijit Singh,"Mika Singh, Diljit Dosanjh",1180.0,11979,3114540,2375872,19625632
Lollapalooza Mumbai,Kolkata,2024-11-05,Born To Shine Tour,Diljit Dosanjh,"Arijit Singh, Mika Singh",3928.0,45372,14623938,962979,152681973
Lollapalooza Mumbai,Jaipur,2024-04-19,Unknown Tour,Martin Garrix,"Mika Singh, Badshah, Ed Sheeran, Diljit Dosanjh",929.0,17678,4118974,3432767,23974603
Lollapalooza Mumbai,Bengaluru,2024-06-11,Unknown Tour,Badshah,"Arijit Singh, Ed Sheeran",1824.0,11076,2193048,4584685,26980357
Ziro Festival Arunachal,Mumbai,2024-04-03,Soulful Nights Tour,Arijit Singh,"Honey Singh, Martin Garrix, DJ Snake, Bryan Adams",3034.0,9525,1266825,659581,30825256
Sunburn Goa,Amritsar,2024-11-15,Mathematics Tour,Ed Sheeran,"Honey Singh, Bryan Adams, DJ Snake",798.0,20799,4874352,1012227,16292499
VH1 Supersonic Delhi,Nagpur,2024-12-10,Soulful Nights Tour,Arijit Singh,"Martin Garrix, Badshah, Honey Singh, DJ Snake",2753.0,7762,2227694,3105094,26701574
Magnetic Fields Rajasthan,Nagpur,2024-01-12,Soulful Nights Tour,Arijit Singh,"Diljit Dosanjh, Mika Singh, DJ Snake",2609.0,27598,13467824,3310368,88781374
Bollywood Music Project,Mumbai,2024-02-02,Soulful Nights Tour,Arijit Singh,"Martin Garrix, DJ Snake, Ed Sheeran, Mika Singh",4418.0,8702,3280654,615109,42341199
VH1 Supersonic Delhi,Bengaluru,2024-02-06,Unknown Tour,Shreya Ghoshal,"Diljit Dosanjh, Arijit Singh, DJ Snake",4849.0,8214,1667442,4255125,45752253
Supersonic Bengaluru,Amritsar,2024-12-13,Classics Tour,Bryan Adams,"DJ Snake, Mika Singh",1750.0,20799,4231825,3268157,21531232
Sunburn Goa,Jaipur,2024-05-13,Unknown Tour,DJ Snake,"Badshah, Bryan Adams",4279.8,18095,4089470,1719569,61125454
Bollywood Music Project,Jaipur,2024-07-08,Unknown Tour,Mika Singh,"Arijit Singh, Ed Sheeran, Honey Singh, Mika Singh",3586.0,38295,5476185,887815,143689870
Supersonic Bengaluru,Goa,2024-12-06,Unknown Tour,Mika Singh,"Diljit Dosanjh, Martin Garrix",3782.0,39893,6263201,6333350,158405197
Bollywood Music Project,Bengaluru,2024-08-03,Mathematics Tour,Ed Sheeran,"Mika Singh, DJ Snake",4834.2,14283,5356125,1549672,56224996
Bollywood Music Project,Kolkata,2024-03-02,Unknown Tour,Badshah,"Honey Singh, Diljit Dosanjh, Mika Singh",4286.0,8925,2722125,896661,41871336
Hornbill Festival Nagaland,Delhi,2024-05-15,Soulful Nights Tour,Arijit Singh,"Martin Garrix, Ed Sheeran, Mika Singh",2910.22,4885,1734175,4292613,23891233
Hornbill Festival Nagaland,Nagpur,2024-12-21,Unknown Tour,Honey Singh,"Mika Singh, Ed Sheeran",4529.0,4425,584100,2385440,23010365
Ziro Festival Arunachal,Goa,2024-07-26,Unknown Tour,Mika Singh,"Shreya Ghoshal, Honey Singh, Badshah",726.0,37105,14545160,835232,42318622
Goa Tribal Festival,Goa,2024-03-17,Soulful Nights Tour,Arijit Singh,"Ed Sheeran, Honey Singh, Arijit Singh",1381.0,13578,5336154,1442642,25530014
Sunburn Goa,Jaipur,2024-05-13,Unknown Tour,DJ Snake,"Badshah, Bryan Adams",4279.8,18095,4089470,1719569,61125454
NH7 Pune,Chandigarh,2024-07-01,Unknown Tour,Martin Garrix,"Honey Singh, Bryan Adams, DJ Snake",2334.0,16842,6905220,1067015,47281463
Lollapalooza Mumbai,Kolkata,2024-01-28,Unknown Tour,Honey Singh,"Honey Singh, Diljit Dosanjh",1823.0,15513,7539318,3948781,39768298
NH7 Pune,Amritsar,2024-12-13,Unknown Tour,Honey Singh,"Diljit Dosanjh, Honey Singh, DJ Snake, Shreya Ghoshal",2948.0,9316,1266976,2704822,31435366
